id accelx accely accelz gyrox gyroy gyroz magnx magny magnz accel2x accel2y accel2z flightstatus errors ts rssi snr frequencyError
13906 1 -2 -4 -423 114 -3154 -215 5 505 -10 -44 -220 LAUNCHPAD GPS 1935528 -88 6 -8027
13907 0 -2 -3 -477 -359 -3211 -237 6 501 0 -15 -254 LAUNCHPAD GPS 1935627 -87 6 -8044
13908 -4 0 -7 -127 -393 -3138 -254 11 499 -4 3 -243 LAUNCHPAD GPS 1935727 -86 7 -8044
13909 0 0 2 -169 -208 -3099 -274 18 503 -30 16 -197 LAUNCHPAD GPS 1935828 -86 8 -8061
13910 0 0 -9 -184 -264 -3228 -299 23 503 -1 18 -85 LAUNCHPAD GPS 1935927 -84 8 -8044
13911 0 -1 1 -237 -264 -3057 -306 25 496 -38 7 -249 LAUNCHPAD GPS 1936027 -84 8 -8044
13912 -2 -1 -3 -378 -342 -3267 -336 33 501 -5 17 -106 LAUNCHPAD GPS 1936127 -84 8 -8044
13913 1 0 -6 -218 -308 -3234 -353 44 500 -3 2 -204 LAUNCHPAD GPS 1936227 -83 8 -8061
13914 -2 -2 3 82 -243 -3271 -363 55 503 -3 -7 -222 LAUNCHPAD GPS 1936327 -86 8 -8061
13915 -1 1 -4 86 -272 -3231 -383 67 489 -60 12 -242 LAUNCHPAD GPS 1936428 -85 8 -8061
13916 -2 0 -7 -179 -339 -3087 -392 81 488 -8 -17 -212 LAUNCHPAD GPS 1936527 -86 8 -8078
13917 -2 -2 -2 25 -659 -3028 -413 99 491 31 -17 -190 LAUNCHPAD GPS 1936628 -86 7 -8078
13918 -1 0 2 407 -565 -2916 -416 104 491 -34 32 -220 LAUNCHPAD GPS 1936728 -87 5 -8078
13919 0 0 -2 351 -211 -2875 -435 126 493 -55 35 -206 LAUNCHPAD GPS 1936827 -89 7 -8061
13920 1 -1 1 34 -80 -2883 -438 158 485 -23 11 -215 LAUNCHPAD GPS 1936927 -90 6 -8078
13921 1 -1 -7 -190 -410 -2838 -443 171 483 -16 -55 -292 LAUNCHPAD GPS 1937027 -91 5 -8078
13922 1 2 2 112 -715 -2778 -442 186 484 4 25 -150 LAUNCHPAD GPS 1937127 -91 5 -8078
13923 1 -1 -7 432 -342 -2768 -447 196 466 -4 3 -196 LAUNCHPAD GPS 1937227 -91 6 -8078
13924 -1 -1 -5 645 -97 -2713 -449 225 464 -10 -5 -176 LAUNCHPAD GPS 1937327 -90 7 -8095
13925 3 -1 -3 473 -222 -2673 -438 253 470 -34 -19 -177 LAUNCHPAD GPS 1937427 -90 7 -8095
13926 1 0 -4 114 -351 -2864 -452 260 451 -41 -28 -87 LAUNCHPAD GPS 1937528 -87 7 -8095
13927 0 -1 2 131 -763 -2824 -439 289 451 -21 5 -91 LAUNCHPAD GPS 1937627 -87 6 -8095
13928 0 1 -3 320 -499 -2790 -434 304 454 -6 20 -202 LAUNCHPAD GPS 1937727 -88 5 -8111
13929 1 0 -7 592 22 -2628 -433 319 437 20 -5 -150 LAUNCHPAD GPS 1937827 -88 5 -8111
13930 -3 -2 -5 589 124 -2648 -418 347 436 -48 -1 -232 LAUNCHPAD GPS 1937927 -87 6 -8111
13931 -2 -1 -5 386 31 -2660 -407 369 422 -41 -22 -106 LAUNCHPAD GPS 1938027 -88 7 -8111
13932 3 0 1 294 -267 -2702 -402 382 425 -33 -27 -220 LAUNCHPAD GPS 1938127 -88 7 -8111
13933 0 0 -3 333 -197 -2717 -390 384 433 -18 -11 -116 LAUNCHPAD GPS 1938227 -88 7 -8111
13934 -1 0 0 547 -79 -2497 -377 421 421 -8 -23 -253 LAUNCHPAD GPS 1938327 -87 5 -8128
13935 1 -1 5 614 -40 -2426 -360 434 423 -12 8 -205 LAUNCHPAD GPS 1938428 -86 6 -8111
13936 0 0 -2 605 282 -2484 -348 438 410 -27 -9 -117 LAUNCHPAD GPS 1938527 -86 6 -8128
13937 0 -1 -5 596 183 -2325 -322 451 417 -23 0 -155 LAUNCHPAD GPS 1938628 -87 6 -8128
13938 1 1 -5 503 325 -2411 -313 468 408 -24 -8 -166 LAUNCHPAD GPS 1938728 -87 7 -8145
13939 0 0 2 525 140 -2405 -303 476 393 -3 -16 -192 LAUNCHPAD GPS 1938827 -89 7 -8128
13940 1 0 4 784 135 -2337 -288 489 386 -29 8 -171 LAUNCHPAD GPS 1938927 -90 6 -8128
13941 -3 0 2 564 291 -2460 -284 488 384 -25 4 -153 LAUNCHPAD GPS 1939028 -93 4 -8128
13942 0 0 2 387 273 -2679 -246 491 374 -24 21 -161 LAUNCHPAD GPS 1939127 -96 3 -8145
13943 -1 0 1 267 416 -2749 -221 505 368 -43 14 -144 LAUNCHPAD GPS 1939228 -98 0 -8145
13944 1 1 4 460 413 -2576 -210 509 379 31 -5 -106 LAUNCHPAD GPS 1939327 -104 -1 -8162
13945 1 0 -4 807 203 -2581 -188 513 373 11 -2 -154 LAUNCHPAD GPS 1939427 -95 3 -8128
13946 -2 0 -2 1081 301 -2571 -172 513 355 -16 3 -190 LAUNCHPAD GPS 1939528 -91 5 -8162
13947 -3 -1 -2 896 603 -2578 -155 503 335 -30 22 -298 LAUNCHPAD GPS 1939628 -89 7 -8178
13948 0 -1 -3 315 675 -2425 -124 505 328 -52 -13 -62 LAUNCHPAD GPS 1939727 -89 7 -8145
